question_number,answer_student
1,A
2,B
3,A
4,C
5,C
6,E
7,A
8,A
9,C
10,B
11,E
12,B
13,D
14,D
15,B
16,E
17,A
18,B
19,B
20,B
21,A
22,B
23,A
24,C
25,D
26,D
27,D
28,B
29,A
30,B
31,E
32,E
33,E
34,A
35,D
36,C
37,E
38,A
39,A
40,B
41,B
42,B
43,A
44,D
45,C
46,D
47,C
48,E
49,B
50,A
51,B
52,C
53,A
54,D
55,A
56,A
57,B
58,A
59,A
60,A
61,E
62,C
63,E
64,E
65,E
66,D
67,B
68,E
69,D
70,A
71,B
72,A
73,B
74,B
75,B
76,A
77,E
78,B
79,E
80,C
81,C
82,A
83,E
84,B
85,A
86,B
87,D
88,B
89,A
90,C
91,B
92,E
93,B
94,C
95,E
96,D
97,B
98,C
99,B
100,A
